Post_URL,Comments,Retweets,Likes,Views,Bookmarks,Account Followers,Flagged,Video,Username,Display Name,Account Name,Tweet Text,Replies,Timestamp,Has Video,Has Image,Has Media,Followers,Account Created,Is Retweet,Language,Scraped At,Status
https://x.com/DhruvRathenx/status/1841383408749912532,,0,1,59,0,,,,ArjunPa28728187,Arjun Pandit,Arjun Pandit,"ईरान ने 30 इजरायली F-35 लड़ाकू विमानों को सफलतापूर्वक नष्ट कर दिया है।

इन जेट विमानों का इस्तेमाल 40,000 बच्चों के नरसंहार के लिए किया गया था।",0,2024-10-02T20:27:52.000Z,1,False,True,264,December 2021,False,,2025-11-19T13:21:28.605490,success
https://x.com/ArjunPa28728187/status/1841575850958885148,,8075,41253,2700000,1899,,,,jacksonhinklle,Jackson Hinkle ,Jackson Hinkle , HAHAHA THIS GENOCIDAL BITCH IS RUNNING TO HIS BUNKER! GOD BLESS IRAN!,2576,2024-10-01T20:54:52.000Z,1,False,True,3600000,July 2019,False,,2025-11-19T13:21:43.992776,success
https://x.com/jacksonhinklle/status/1841220257806967135,,39,124,11500,4,,,,omg3lolz,omg3lolz,omg3lolz,"Τρέχει για τα καταφύγια ο εγκληματίας πολέμου Νετανιάχου. 
#Ιραν #Ισραήλ",21,2024-10-01T22:00:11.000Z,1,False,True,4602,July 2009,False,,2025-11-19T13:21:58.462275,success
https://x.com/omg3lolz/status/1841236697075351963,,,,,,,,,globalgazes,globle gaze,globle gaze,,,,0,False,False,223,January 2023,False,,2025-11-19T13:22:13.518152,success
https://x.com/globalgazes/status/1840998025503850927,,0,0,322,0,,,,MaldivesShifan,Don’t miss what’s happening,Don’t miss what’s happening,"BREAKING: US military base comes under attack in Baghdad
#breaking #breakingnews #NewsUpdate #ww3 #WorldWar3 #MiddleEastTensions",0,2024-10-01T02:45:17.000Z,0,False,False,,,False,,2025-11-19T13:22:44.098000,success
https://x.com/MaldivesShifan/status/1840946056135413931,,2233,15006,803900,300,,,,IRIran_Military,Iran Military Monitor,Iran Military Monitor,Breaking:  The American terroists' base near Baghdad International Airport has been attacked.,300,2024-09-30T21:59:40.000Z,0,False,False,1600000,June 2024,False,,2025-11-19T13:23:00.067887,success
https://x.com/IRIran_Military/status/1840874176271262136,,968,4257,1200000,145,,,,Meyer_Habib,Meyer Habib,Meyer Habib,"Biper islamiste  avec batterie israélienne! 
Le meilleur des laxatifs !!",1737,2024-09-18T20:24:57.000Z,0,False,False,58400,September 2013,False,,2025-11-19T13:23:15.460747,success
https://x.com/Meyer_Habib/status/1836501685637713974,,26,434,22100,9,,,,orfialkov,Don’t miss what’s happening,Don’t miss what’s happening,איש חיזבאללה התפוצץ בזמן שהיה בשירותים ,37,2024-09-18T16:13:44.000Z,0,False,False,,,False,,2025-11-19T13:23:29.660401,success
https://x.com/orfialkov/status/1836438464935403660,,4,9,417,0,,,,ArleteCaetana,Arlete Caetana,Arlete Caetana," A #Hezbollah man exploded while in the bathroom 


 #Lebanon : Monday for the attack.",4,2024-09-19T13:36:29.000Z,0,False,False,79700,March 2022,False,,2025-11-19T13:23:45.104876,success
https://x.com/ArleteCaetana/status/1836761281518338181,,74,705,109700,19,,,,NiKiTa_32156,NiKITa,NiKITa,"黎巴嫩衛生部報告無線電爆炸造成300人受傷 ，另有九人死亡

真主黨份子在黎巴嫩各地繼續爆炸，

記者看到武裝分子瘋狂地從所有收音機中取出電池並將其扔進垃圾桶，馬桶。",52,2024-09-18T16:26:41.000Z,0,False,False,141200,April 2019,False,,2025-11-19T13:24:00.925560,success
